Trustworthy Characteristic,Name,Description
Secure and Resilient,Authentication ,GAI system user identities are confirmed via authentication mechanisms. 
Secure and Resilient,Malware Screening,GAI weights and other software components are scanned for malware. 
Secure and Resilient,Rate-limiting ,GAI response times and query volumes are limited. 
Secure and Resilient,Dependency Screening ,GAI system dependencies are screened for security vulnerabilities. 
Secure and Resilient,Supply Chain Audit,"GAI system supply chains are audited and documented, with a focus on data poisoning, malware, and software and hardware vulnerabilities.  "
Valid and Reliable,Data Quality,"Input data is accurate, representative, complete and documented, and data quality issues have been minimized. "
Valid and Reliable,Decision making ,GAI systems are not employed for material decision-making tasks. 
Valid and Reliable,External Audit,GAI systems are audited by qualified external experts. 
Valid and Reliable,Fine Tuning,GAI systems are fine-tuned to their operational domain using relevant and high-quality data. 
Valid and Reliable,Grounding,"GAI systems are trained or fine-tuned on accurate, clean, and fully transparent training data. "
Valid and Reliable,Incorporate feedback ,"User feedback is incorporated in GAI design, development, and risk management. "
Valid and Reliable,Narrow Scope,Systems are deployed for targeted business applications with documented and direct business value.
Valid and Reliable,RAG,Retreival augmented generation (RAG) is used to improve accuracy in generated content. 
Valid and Reliable,Refresh,Systems are retrained or re-tuned at a reasonable cadence. 
Valid and Reliable,RLHF,"For third-party GAI systems, vendors engage in specific reinforcement with human feedback (RLHF) exercises to address identified risks; for internal systems, internal personnel engage in RLHF to address identified risks.  "
Valid and Reliable,System Prompt ,System prompts are used to tune GAI systems to specific tasks and to mitigate risks. 
Valid and Reliable,Temperature,Temperature settings are used to tune GAI systems to specific tasks and to mitigate risks. 
Valid and Reliable,Validation,GAI systems are shown to reliably generate valid results for their targeted business application.
