,Accountable and Transparent,Explainable and Interpretable,Fair with Harmful Bias Managed,Privacy Enhanced,Safe,Secure and Resilient,Valid and Reliable
"EVALS/BENCHMARKING
(AUTOMATION)",,,From Pretraining Data to Language Models to Downstream Tasks: Tracking the Trails of Political Biases Leading to Unfair NLP Models - Benchmarking,,,,"Eval Gauntlet
Reading comprehension - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,HELM: Bias - Benchmarking,,,,"Eval Gauntlet: Commonsense reasoning, Symbolic problem solving, Programming - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,HELM: Language (Twitter AAE) - Benchmarking,,,,Eval Gauntlet: Language Understanding - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,HELM: Toxicity - Benchmarking,,,,Eval Gauntlet: World Knowledge - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,HELM: Toxicity detection - Benchmarking,,,,Evaluation Harness: BLiMP - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,MASSIVE - Benchmarking,,,,"Evaluation Harness: CoQA, ARC - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,The Self-Perception and Political Biases of ChatGPT - Benchmarking,,,,Evaluation Harness: GLUE - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,Towards Measuring the Representation of Subjective Global Opinions in Language Models - Benchmarking,,,,"Evaluation Harness: HellaSwag, OpenBookQA - General commonsense knowledge, TruthfulQA - Factuality of knowledge - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,Evaluation Harness: MuTual - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,"Evaluation Harness: PIQA, PROST - Physical reasoning, MC-TACO - Temporal reasoning, MathQA - Mathematical reasoning, LogiQA - Logical reasoning, SAT Analogy Questions - Similarity of semantic relations, DROP, MuTual – Multi-step reasoning - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,FLASK: Background Knowledge - Benchmarking (with human and model scoring)
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,"FLASK: Logical correctness, Logical robustness, Logical efficiency, Comprehension, Completeness - Benchmarking (with human and model scoring)"
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,FLASK: Metacognition - Benchmarking (with human and model scoring)
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,"FLASK: Readability, Conciseness, Insightfulness - Benchmarking (with human and model scoring)"
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Knowledge - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Language - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Miscellaneous text classification - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Question answering - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Reasoning - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Robustness to contrast sets - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,HELM: Summarization - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,Hugging Face: Conversational - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,"Hugging Face: Fill-mask, Text generation - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,Hugging Face: Question answering - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,Hugging Face: Summarization - Benchmarking
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,"Hugging Face: Text classification, Token classification, Zero-shot classification - Benchmarking"
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,MT-bench - Benchmarking (with human and model scoring)
"EVALS/BENCHMARKING
(AUTOMATION)",,,,,,,Putting GPT-3's Creativity to the (Alternative Uses) Test - Benchmarking (with human scoring)
